% Model,guia.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 28 2025, 20:04"
% Table,Accumulated Probe Table 2 - 
% wav (m),Effective_mode_index (1),effective area
9.500000000000001E-7,1.1981798491724418-9.92781301995156E-9i,5.721248171835643E-13
9.550000000000002E-7,1.1962829266443855-8.488291793677854E-9i,5.783010029151032E-13
9.600000000000001E-7,1.1943911713894841-6.7817250618148275E-9i,5.845611928743082E-13
9.65E-7,1.19250474270239-4.785078875389417E-9i,5.909066769801162E-13
9.7E-7,1.1906237994150697-2.4675762274580535E-9i,5.973387828419188E-13
9.75E-7,1.1887484998316373+2.0548689268018674E-10i,6.038588770143582E-13
9.800000000000001E-7,1.1868790016618487+3.269621413666533E-9i,6.104683662855953E-13
9.85E-7,1.1850154619524456+6.759123404740506E-9i,6.171686990046607E-13
9.9E-7,1.183158037016494+1.0706266710086697E-8i,6.239613664572401E-13
9.950000000000002E-7,1.1813068823622763+1.5141087273893246E-8i,6.308479042996412E-13
1.0000000000000002E-6,1.1794621534709624+2.0354383028177608E-8i,6.378298975093416E-13
1.0050000000000001E-6,1.177624002522142+2.58344952543937E-8i,6.449089687653482E-13
1.01E-6,1.1757925828341529+3.1834069515909085E-8i,6.520867989475285E-13
1.015E-6,1.173968045974869+3.8333194052969376E-8i,6.593651167378975E-13
1.02E-6,1.1721505423643448+4.529654789897012E-8i,6.667457032340677E-13
1.0250000000000001E-6,1.170340220201767+5.31451887299706E-8i,6.742303883555774E-13
1.03E-6,1.1685372294694256+6.111944584400918E-8i,6.81821076210485E-13
1.035E-6,1.1667417157200697+6.951194183970894E-8i,6.895197091525614E-13
1.0400000000000002E-6,1.1649539521300343+1.3233891888501274E-9i,6.973299759808733E-13
1.0450000000000002E-6,1.1631738337592294+1.4244221537958776E-9i,7.052507424439623E-13
1.0500000000000001E-6,1.161401623075869+1.3944431904608127E-9i,7.132856811500619E-13
1.055E-6,1.1596374606519528+1.5044303759471022E-9i,7.214369953540894E-13
1.06E-6,1.157881485137252+1.6259403545264622E-9i,7.297069566341974E-13
1.065E-6,1.1561338335154425+1.759073056570751E-9i,7.380979080026086E-13
1.0700000000000001E-6,1.1543946409589432+1.9040157900331677E-9i,7.46612266156836E-13
1.075E-6,1.1526640407674134+2.0614124869594863E-9i,7.552525239858333E-13
1.0800000000000002E-6,1.1509421643053732+2.2332584343809152E-9i,7.640212531270355E-13
1.0850000000000002E-6,1.1492291409397928+2.4232755992077547E-9i,7.729211065865147E-13
1.0900000000000002E-6,1.1475250979815148+2.6359901609099404E-9i,7.819548214410172E-13
1.095E-6,1.1458301606329284+2.8750286533801682E-9i,7.911252216234985E-13
1.1E-6,1.1441444517768418+3.255852465683764E-9i,8.00435220746041E-13
